http://www.darbasuzsienyje.org/,Sorces ,Original (translated) 
,http://www.darbasuzsienyje.org/darbas-nyderlanduose/2-krovejai-reikalingi-darbui-olandijoje-1cdf7,"Nature of work
Holland, unloading/loading of containers

2 loaders urgently needed

Job profile
When unloading the boxes from the containers and stacking them on the pallet, we seal the pallets and stick stickers.
On busy days you can expect up to 6 trucks per day.
Work 5 days a week, no shifts, start time depends on truck schedules and is usually from 7-8am. morning
Cold working environment, 5-7 degrees Celsius.
Appropriate work clothes are provided
Requirements for candidates:
-1 out of 2 must communicate in spoken English;
-motivation for work
A bicycle is provided for commuting to/from work
Salary: 14.50 EUR gross per hour (with taxes).
Paid once a week.
The living area is provided in the house, its rental price is 125 EUR per person for 1 week. You do not need to pay immediately, it is deducted from your salary. 2 people per room.
Those who wish to apply should send their CV to the e-mail address: info@eurokryptis.lt
Selection for the Dutch company is carried out by:
UAB Euro direction
Šiauliai, Lithuania
Mobile phone: +370 699 89947
Email: info@eurokryptis.lt
E-mail: eurokryptis@splius.lt
www.eurokryptis.lt
Requirements
is
Reward
is"
,http://www.darbasuzsienyje.org/darbas-nyderlanduose/olandija-darbas-sandeliuose-prie-uzsakymu-surinkimo-16707,"Nature of work
EMPLOYMENT GUARANTEED !! We are one of the oldest employment agencies in Lithuania and we constantly offer permanent, legal and well-paid jobs in warehouses, factories, workshops and construction sites in Holland.
WE ARE URGENTLY OFFERING PERMANENT, LEGAL AND WELL-PAYING JOBS;

* Work in clothing, logistics warehouses - ""XPO"", ""Barts"", ""Fust"", ""Ingram"" and others (packing of new branded clothes, sticking labels, ""order picker"" positions, loading):
- Salary avg. 1600-2200 EUR/month;
- 40-60 working hours per week;
- Salary 13.86 - 19.90 EUR per hour + overtime, + holidays;
- Salary paid on time !!
- All social guarantees !!
- Work for men and women;
- Proficiency in English is an advantage (for those who do not know the language, employers compensate for English language courses) !
- No experience required!
- Good living conditions!
- We take you, meet you, accommodate you and organize the necessary documents.
We have 10 seats!! Departures all year round almost every week !!

YOU CAN FIND MORE JOB OFFERS on our website WWW.DIRBKUZSIENYJE.LT, by calling or visiting our company headquarters (FREE consultation).

www.dirbkuzsienyje.lt
Phone: +370 683 26708; +370 683 26709
email mail: info@dirbkuzsienyje.lt
https://www.instagram.com/dirbkuzsienyje/
https://www.youtube.com/channel/UC_zuEBWrqK7EXIjUMIHC0vg/videos

--- Tax refund for those who worked abroad (England, USA, Norway, Ireland, Holland, Germany, Australia, Canada) !! ---
Additional information
GUARANTEED EMPLOYMENT !! We are one of the oldest operating recruitment agencies in Lithuania - the company has been working for 14 years !!
We offer you well-paid warehouse jobs in Holland.
www.dirbkuzsienyje.lt
Requirements
Diligence, honesty, responsibility, motivation for work.
Reward
2000"
,http://www.darbasuzsienyje.org/darbas-vokietijoje/vokietija-darbas-vairuotojams-kurjeriams-alga-1800-2400-eur-19605,"Nature of work
JOB DESCRIPTION:
Legal and well-paid work for courier drivers in Germany is offered. Shipping and delivery of parcels by full-size cars (categories ""B"", ""C"" and ""C E"").

SALARY:
* Avg. 1800 - 2400 EUR per month.

WORKING HOURS:
* 8-10 working hours per day (after gaining experience, you will deliver parcels faster);
* The possibility of additional work (overtime).

REQUIREMENTS:
* Age from 18 years;
* Experience is not required (when transporting packages with ""C"", ""C E"" categories, experience is necessary);
* Valid ""B"", ""C"", ""C E"" category driver's license (according to job position);
* Basics of spoken English or Russian (German is an advantage);
* Diligence, honesty, motivation for work.

ACCOMMODATION:
* Good living conditions;
* Housing will be found and provided immediately upon arrival.

DEPARTURE:
* Upcoming departures - throughout the year by agreement
* We organize travel and trust.

DOCUMENTS:
* All necessary documents are arranged;
* We open a bank account (if necessary).

www.dirbkuzsienyje.lt
Phone: +370 683 26708; +370 683 26709
email mail: info@dirbkuzsienyje.lt
https://www.instagram.com/dirbkuzsienyje/
https://www.youtube.com/channel/UC_zuEBWrqK7EXIjUMIHC0vg/videos

--- Tax refund for those who worked abroad (England, USA, Norway, Ireland, Holland, Germany, Australia, Canada) !! ---
Additional information
GUARANTEED EMPLOYMENT !! We are one of the oldest recruitment agencies in Lithuania - the company has been working for 15 years !!
We offer you well-paid jobs in Germany.
www.dirbkuzsienyje.lt
Requirements
Diligence, honesty, responsibility, motivation for work.
Reward
2000"
,http://www.darbasuzsienyje.org/darbas-didziojoje-britanijoje/anglija-darbas-rubu-sandeliuose-sainsburys-moss-bros-1586f,"Nature of work
EMPLOYMENT GUARANTEED !! We are one of the oldest employment agencies in Lithuania and we constantly offer permanent, legal and well-paid jobs in warehouses and workshops in England.
WE ARE URGENTLY OFFERING PERMANENT, LEGAL AND WELL-PAYING JOBS;

* Work in clothing warehouses - Sainsbury's/DHL and others (packing new branded clothes, sticking labels, loading the ""order picker"" position):
- Hourly payment of work;
- Up to 60 working hours per week;
- Salary avg. £12.65 - £18 per hour, £350 - £600 per week;
- Salary paid on time (weekly) !!
- All social guarantees !!
- Work for men, women and couples;
- Knowledge of English is an advantage!
- No experience required!
- Good living conditions!
- We organize travel, meeting, accommodation!
We have 10 seats!! Departures in February, March, April.

YOU CAN FIND MORE JOB OFFERS on our website WWW.DIRBKUZSIENYJE.LT, by calling or visiting our company headquarters (FREE consultation).

www.dirbkuzsienyje.lt
Phone: +370 683 26708; +370 683 26709
email mail: info@dirbkuzsienyje.lt
https://www.instagram.com/dirbkuzsienyje/
https://www.youtube.com/channel/UC_zuEBWrqK7EXIjUMIHC0vg/videos
https://www.facebook.com/Works in Holland, England, Germany/

--- Tax refund for those who worked abroad (England, USA, Norway, Ireland, Holland, Germany, Australia, Canada) !! ---
Additional information
GUARANTEED EMPLOYMENT !! We are the oldest operating recruitment agency in Lithuania - the company has been working for 10 years !!
We offer you well-paid jobs in warehouses, factories and workshops in England.
www.dirbkuzsienyje.lt
Requirements
diligence, honesty, responsibility, motivation for work.
Reward
2200"
,http://www.darbasuzsienyje.org/darbas-didziojoje-britanijoje/anglija-darbas-pakavimo-sandeliuose-whistl-sainsburys-ir-kiti-15869,"Nature of work
EMPLOYMENT GUARANTEED !! We are one of the oldest employment agencies in Lithuania and we constantly offer permanent, legal and well-paid jobs in factories, warehouses, workshops, printing houses and hotels in England.
WE ARE URGENTLY OFFERING PERMANENT, LEGAL AND WELL PAYING JOBS IN LONDON;

* Work in logistics (""WHISTL"", ""SAINSBURY'S"", ""TESCO and others"") warehouses (packing, loading of toys, food products, clothes, ""order picker"" positions):
- Hourly payment of work;
- Up to 60 working hours per week;
- Salary avg. £300-£500 per week / £8.72 - £12 per hour;
- Salary paid on time (weekly) !!
-- Work for men and women;
- Knowledge of English is not necessary!
- No experience required!
- Good living conditions!
- We take you, meet you, accommodate you and organize the necessary documents.
We have 8 seats available !! Departures on January 29, February

YOU CAN FIND MORE JOB OFFERS on our website WWW.DIRBKUZSIENYJE.LT, by calling or visiting our company headquarters (FREE consultation).

www.dirbkuzsienyje.lt
Phone: +370 683 26708; +370 683 26709
email mail: info@dirbkuzsienyje.lt
https://www.instagram.com/dirbkuzsienyje/
https://www.youtube.com/channel/UC_zuEBWrqK7EXIjUMIHC0vg/videos

--- Tax refund for those who worked abroad (England, USA, Norway, Ireland, Holland, Germany, Australia, Canada) !! ---
Additional information
GUARANTEED EMPLOYMENT !! We are the oldest operating recruitment agency in Lithuania - the company has been working for 10 years !!
We offer you well-paid jobs in warehouses, factories and workshops in England.
www.dirbkuzsienyje.lt
Requirements
diligence, honesty, responsibility, motivation for work.
Reward
2200"
,http://www.darbasuzsienyje.org/darbas-didziojoje-britanijoje/anglija-darbas-pakavimo-sandeliuose-whistl-sainsburys-ir-kiti-15869,"Nature of work
We are the OLDEST operating recruitment agency in Lithuania and offer well-paid, permanent and legal jobs in England in warehouses, factories, hotels (Amazon, Sainsbury's, Moss Bros, Blue Inc, UK Mail, Augustus Martin, Moy Park, Asda, ibis, Tulip and others):

- In printing houses (paper factories), post offices;
- In clothes warehouses (new and branded clothes);
- For drivers, couriers (""Amazon"" - parcel delivery);
- In electronics warehouses (""order picking"")
- Logistics of food products in packaging warehouses;
- In chocolate and confectionery packaging factories;
- Metal factory;
- Secondary raw materials sorting factories;
- Semi-finished, ready-to-eat products in packaging factories;
- In vegetable and fruit packing warehouses;
- In construction;
- In hotels, restaurants, cafes, banquet services;
- In car repair shops (blacksmiths, mechanics, painters);
- Moving furniture.

--- Salary avg. £300-600 per week;
--- English is not necessary (depending on the job position).

We take you, accommodate you and arrange the documents.

DEPARTURES in 2021 - we take place every Friday, all year !!

EMPLOYMENT GUARANTEED - we are one of the oldest operating employment agencies in Lithuania and we offer you legal, well-paid and permanent jobs in warehouses, workshops, factories, hotels and the farm sector in England.

www.dirbkuzsienyje.lt
Phone: +370 683 26708; +370 683 26709
email mail: info@dirbkuzsienyje.lt
https://www.instagram.com/dirbkuzsienyje/
https://www.youtube.com/channel/UC_zuEBWrqK7EXIjUMIHC0vg/videos

--- Tax refund for those who worked abroad (England, USA, Norway, Ireland, Holland, Germany, Australia, Canada) !! ---
Additional information
GUARANTEED EMPLOYMENT !! We are the oldest operating recruitment agency in Lithuania - the company has been working for 10 years !!
We offer you well-paid jobs in warehouses, factories and workshops in England.
www.dirbkuzsienyje.lt
Requirements
diligence, honesty, responsibility, motivation for work.
Reward
2200"
,http://www.darbasuzsienyje.org/darbas-didziojoje-britanijoje/anglija-darbas-sokolado-ir-konditerijos-pakavimo-fabrikuose-15868,"Nature of work
We are one of the OLDEST operating recruitment agencies in Lithuania and we offer permanent and well-paid jobs in England!!

We will employ you in the following jobs:

* WORKING IN CHOCOLATE AND CONFECTIONERY PACKAGING FACTORIES (candy and confectionery packaging);
(we have 4 seats) - departures on January 29, February

YOU CAN FIND MORE JOB OFFERS on our website WWW.DIRBKUZSIENYJE.LT, by calling or visiting our company headquarters (FREE consultation).

www.dirbkuzsienyje.lt
Phone: +370 683 26708; +370 683 26709
email mail: info@dirbkuzsienyje.lt
https://www.instagram.com/dirbkuzsienyje/
https://www.youtube.com/channel/UC_zuEBWrqK7EXIjUMIHC0vg/videos

--- Tax refund for those who worked abroad (England, USA, Norway, Ireland, Holland, Germany, Australia, Canada) !! ---
Additional information
GUARANTEED EMPLOYMENT !! We are the oldest operating recruitment agency in Lithuania - the company has been working for 10 years !!
We offer you well-paid jobs in warehouses, factories and workshops in England.
www.dirbkuzsienyje.lt
Requirements
diligence, honesty, responsibility, motivation for work.
Reward
2200"
,http://www.darbasuzsienyje.org/darbas-nyderlanduose/olandija-darbas-logistikos-sandeliuose-prie-uzsakymu-komplektavimo-17f24,"Nature of work
EMPLOYMENT GUARANTEED !! We are one of the oldest employment agencies in Lithuania and we constantly offer permanent, legal and well-paid jobs in warehouses, factories, workshops and construction sites in Holland.
WE ARE URGENTLY OFFERING PERMANENT, LEGAL AND WELL-PAYING JOBS;

* Work in logistics warehouses - ""Simon Loos"", ""Syncreon"", ""Ceva"" and others (packing goods, sticking labels, ""order picker"" positions, loading):
- Salary avg. 1600-2300 EUR/month;
- 40-60 working hours per week;
- Salary avg. 13.68 - 22.54 EUR per hour + overtime, + holidays;
- Salary paid on time !!
- All social guarantees !!
- Work for men and women and couples;
- Proficiency in English is an advantage (for those who do not know the language, there are projects where employers can compensate for English language courses)!
-- Good living conditions!
- We take you, meet you, accommodate you and organize the necessary documents.
We have 10 seats!! Departures all year round almost every week !!

YOU CAN FIND MORE JOB OFFERS on our website WWW.DIRBKUZSIENYJE.LT, by calling or visiting our company headquarters (FREE consultation).

www.dirbkuzsienyje.lt
Phone: +370 683 26708; +370 683 26709
email mail: info@dirbkuzsienyje.lt
https://www.instagram.com/dirbkuzsienyje/
https://www.youtube.com/watch?v=6wHfkVc38-s&list=UU_zuEBWrqK7EXIjUMIHC0vg&index=1

--- Tax refund for those who worked abroad (England, USA, Norway, Ireland, Holland, Germany, Australia, Canada) !!
Additional information
GUARANTEED EMPLOYMENT !! We are one of the oldest recruitment agencies in Lithuania - the company has been working for 15 years !!
We offer you well-paid warehouse jobs in Holland.
www.dirbkuzsienyje.lt
Requirements
Diligence, honesty, responsibility, motivation for work.
Reward
2000"
,http://www.darbasuzsienyje.org/darbas-vokietijoje/vokietija-darbas-sandelyje-prie-uzsakymu-komplektavimo-1c440,"Nature of work
JOB DESCRIPTION:
Collection and assembly of goods using voice commands (household goods, hygiene products, fruit juices, etc.). Working with email wheelchair. Taking into account the employer's recommendations - age up to ~ 40 years.

SALARY:
* Salary paid on time (monthly);
* Avg. 1600-2500 EUR per month;
* Payment avg. from 13 - 15 Eur per hour;
* Social guarantees (when working with a German contract, length of service in Lithuania is calculated in the same way).

WORKING HOURS:
* Avg. 40-60 working hours per week;
* The possibility of additional work (overtime).

REQUIREMENTS:
* Age from 18 to 40 years;
* No experience required;
* Diligence, honesty, responsibility and motivation for work;
* The language is not required (the job requires knowledge of numbers in English, which can be easily learned).

ACCOMMODATION:
* Good living conditions (double rooms with WI-FI);
* Housing will be found and provided immediately upon arrival (you can also find housing on your own).

DEPARTURE:
* Nearest departures throughout the year by arrangement
* We organize travel and trust.

DOCUMENTS:
* A bank account is opened (if necessary);

CONTACT INFORMATION:
+370 683 26708; +370 683 26709;
www.dirbkuzsienyje.lt
info@dirbkuzsienyje.lt

https://www.instagram.com/dirbkuzsienyje/
https://www.youtube.com/channel/UC_zuEBWrqK7EXIjUMIHC0vg/videos
https://www.facebook.com/Works in Holland, England, Germany/
Additional information
GUARANTEED EMPLOYMENT !! We are one of the oldest operating recruitment agencies in Lithuania - the company has been working for 14 years !!
We offer you well-paid jobs in warehouses in Germany.
www.dirbkuzsienyje.lt
Requirements
Diligence, honesty, responsibility, motivation for work.
Reward
2000"
,http://www.darbasuzsienyje.org/darbas-didziojoje-britanijoje/darbas-be-anglu-kalbos-sandeliuose-ir-fabrikuose-anglijoje-15864,"Nature of work
You can't find a job and you don't live in Lithuania or you want to earn extra money, but you don't know a foreign language?
No problem - one of the recruitment agencies with the most experience in recruitment abroad offers you various, well-paid jobs in England that do not require English language skills.
Moving office and individual home furniture (work for a furniture moving company in London).

We are currently hiring you in England:

* In industrial areas - factories, warehouses, workshops (packaging of food products and clothes, electronics, semi-finished goods, haberdashery; processing of metal products, recycling industry and printing-paper mills) - ""Amazon"", ""Sainsbury's"", ""Moss Bros"", "" Blue Inc, Moy Park, Augustus Martin, UK Mail, Asda and others;

* For drivers, couriers (delivery of Amazon and other parcels);

* In fruit, vegetable, flower packaging, sorting, packaging warehouses (tomatoes, grapes, potatoes, onions, lettuce, sprouts, radishes, potted flowers, bouquets);

* To harvest processing and preparatory work for various agricultural products (preparation and removal of irrigation systems, weeding of gardens);

* In construction (masons, interior decoration, support workers);

* In hotels, cafes, car washes (support staff, housekeeping, restaurant work, cafe waitresses) - ""ibis"" and others;

* In car services (blacksmiths, mechanics, painters);

-- Jobs are permanent and seasonal (according to your needs) and legal;
-- Salary avg. £300-£700 per week / £8.72 - £12 per hour;
-- Jobs for men, women, couples;
-- Jobs for students and schoolchildren;
-- Employment is guaranteed;
A foreign language is not required for work (there are several positions where English is an advantage);
-- Jobs are legal, with social guarantees;
-- No experience required;
-- We welcome and accommodate;

DEPARTURES TO ENGLAND IN 2021 ARE HAPPENING EVERY WEEK ALL YEAR !!

www.dirbkuzsienyje.lt
Phone: +370 683 26708; +370 683 26709
email mail: info@dirbkuzsienyje.lt
https://www.instagram.com/dirbkuzsienyje/
https://www.youtube.com/channel/UC_zuEBWrqK7EXIjUMIHC0vg/videos

Interested and have additional questions? Call the indicated company phones, come for a consultation (FREE CONSULTATION) at our company office, or simply visit our website.

--- Tax refund for those who worked abroad (England, USA, Norway, Ireland, Holland, Germany, Australia, Canada) !! ---
Additional information
GUARANTEED EMPLOYMENT !! We are the oldest operating recruitment agency in Lithuania - the company has been working for 10 years !!
We offer you well-paid jobs in warehouses, factories and workshops in England.
www.dirbkuzsienyje.lt
Requirements
diligence, honesty, responsibility, motivation for work.
Reward
2200"
